날짜,종가,오픈,고가,저가,거래량
2020년 04월 24일,49350,49650,49750,49000,15560000
2020년 04월 23일,49850,50200,50300,49500,17930000
2020년 04월 22일,49850,48700,50000,48350,18540000
2020년 04월 21일,49250,49400,49700,48700,26890000
2020년 04월 20일,50100,51400,51400,50000,21580000
2020년 04월 19일,51400,51400,51400,51400,0
2020년 04월 17일,51400,50800,52000,50300,31740000
2020년 04월 16일,49000,49350,49350,48550,22570000
2020년 04월 15일,49000,49000,49000,49000,0
2020년 04월 14일,49000,48800,49200,48300,14100000
2020년 04월 13일,48300,48650,48900,48300,14380000
2020년 04월 12일,49250,49250,49250,49250,0
2020년 04월 10일,49250,48950,49250,48650,17790000
2020년 04월 09일,49100,49750,49800,48700,22470000
2020년 04월 08일,48600,49600,49750,48600,24870000
2020년 04월 07일,49600,49650,50200,49000,31240000
2020년 04월 06일,48700,47500,48800,47250,23090000
2020년 04월 05일,47000,47000,47000,47000,0
2020년 04월 03일,47000,47400,47600,46550,22460000
2020년 04월 02일,46800,46200,46850,45350,21410000
2020년 04월 01일,45800,47450,47900,45800,27080000
2020년 03월 31일,47750,48000,48500,47150,30480000
2020년 03월 30일,47850,47050,48350,46550,26670000
2020년 03월 29일,48300,48300,48300,48300,0
2020년 03월 27일,48300,49600,49700,46850,39730000
2020년 03월 26일,47800,48950,49300,47750,339000
2020년 03월 25일,48650,48950,49600,47150,4501000
2020년 03월 24일,46950,43800,46950,43100,089000
2020년 03월 23일,42500,42600,43550,42400,2915000
2020년 03월 22일,45400,45400,45400,45400,0
2020년 03월 20일,45400,44150,45500,43550,49160000
2020년 03월 19일,42950,46500,46600,42300,064000
2020년 03월 18일,45600,47750,48350,45600,38150000
2020년 03월 17일,47300,46900,49650,46700,50590000
2020년 03월 16일,48900,50100,50900,48800,33060000
2020년 03월 15일,49950,49950,49950,49950,0
2020년 03월 13일,49950,47450,51600,46850,58330000
2020년 03월 12일,50800,51000,51900,49300,47900000
2020년 03월 11일,52100,54300,54400,52000,37830000
2020년 03월 10일,54600,53800,54900,53700,31330000
2020년 03월 09일,54200,54700,55000,53600,30010000
2020년 03월 08일,56500,56500,56500,56500,0
2020년 03월 06일,56500,56500,57200,56200,18590000
2020년 03월 05일,57800,57600,58000,56700,21660000
2020년 03월 04일,57400,54800,57600,54600,24320000
2020년 03월 03일,55400,56700,56900,55100,29810000
2020년 03월 02일,55000,54300,55500,53600,29210000
2020년 03월 01일,54200,54200,54200,54200,0
2020년 02월 28일,54200,55000,55500,54200,29910000
2020년 02월 27일,55900,56300,56900,55500,22360000
2020년 02월 26일,56500,56000,57000,56000,25380000
2020년 02월 25일,57900,56200,58000,56200,23070000
2020년 02월 24일,56800,57400,58100,56800,25360000
2020년 02월 23일,59200,59200,59200,59200,0
2020년 02월 21일,59200,58800,59800,58500,13280000
2020년 02월 20일,60000,60700,61300,59600,14510000
2020년 02월 19일,60200,59800,60400,59400,12940000
2020년 02월 18일,59800,60800,60900,59700,16630000
2020년 02월 17일,61500,61600,62000,61200,8490000
2020년 02월 16일,61800,61800,61800,61800,0
2020년 02월 14일,61800,60900,61900,60200,13260000
2020년 02월 13일,60700,61200,61600,60500,18340000
2020년 02월 12일,60500,60300,60700,59700,12730000
2020년 02월 11일,59900,59800,60700,59700,10950000
2020년 02월 10일,59700,59200,59800,59100,12690000
2020년 02월 09일,60400,60400,60400,60400,0
2020년 02월 07일,60400,61100,61200,59700,16270000
2020년 02월 06일,61100,60100,61100,59700,14680000
2020년 02월 05일,59500,60000,60200,58900,18190000
2020년 02월 04일,58900,57100,59000,56800,21100000
2020년 02월 03일,57200,55500,57400,55200,22910000
2020년 02월 02일,56400,56400,56400,56400,0
2020년 01월 31일,56400,57800,58400,56400,19490000
2020년 01월 30일,57200,58800,58800,56800,20720000
2020년 01월 29일,59100,59100,59700,58800,16260000
2020년 01월 28일,58800,59400,59400,58300,22630000
2020년 01월 27일,60800,60800,60800,60800,0
2020년 01월 23일,60800,61800,61800,60700,14880000
